PID,PathType,Width,Length,Depth,Width_P,Length_P,Rotation,Rep,PointIndex,BoardX,BoardY,BoardZ,WorldX,WorldY,WorldZ
23,3,2,25,4,0.1396,1.773552,LR,0,9,-0.5627589,-1.760639,-0.8208327,-0.5627589,1.239361,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,10,-0.5537898,-1.769017,-0.8208327,-0.5537898,1.230983,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,11,-0.5418102,-1.778204,-0.8208327,-0.5418102,1.221796,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,12,-0.5289968,-1.785921,-0.8208327,-0.5289968,1.214079,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,13,-0.5103608,-1.787567,-0.8208327,-0.5103608,1.212433,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,14,-0.499057,-1.787814,-0.8208327,-0.499057,1.212186,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,15,-0.4797374,-1.788496,-0.8208327,-0.4797374,1.211504,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,16,-0.4671563,-1.793264,-0.8208327,-0.4671563,1.206736,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,17,-0.450903,-1.796797,-0.8208327,-0.450903,1.203203,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,18,-0.4395751,-1.794778,-0.8208327,-0.4395751,1.205222,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,19,-0.4289427,-1.789847,-0.8208327,-0.4289427,1.210153,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,20,-0.4181228,-1.7854,-0.8208327,-0.4181228,1.2146,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,21,-0.4070907,-1.779776,-0.8208327,-0.4070907,1.220224,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,22,-0.3974422,-1.770281,-0.8208327,-0.3974422,1.229719,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,23,-0.3780129,-1.76692,-0.8208327,-0.3780129,1.23308,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,24,-0.3564361,-1.768761,-0.8208327,-0.3564361,1.231239,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,25,-0.3316241,-1.766787,-0.8208327,-0.3316241,1.233213,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,26,-0.3191948,-1.763548,-0.8208327,-0.3191948,1.236452,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,27,-0.306965,-1.756784,-0.8208327,-0.306965,1.243216,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,28,-0.3005468,-1.744562,-0.8208327,-0.3005468,1.255438,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,29,-0.2913769,-1.73804,-0.8208327,-0.2913769,1.26196,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,30,-0.2756484,-1.729616,-0.8208327,-0.2756484,1.270384,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,31,-0.2621093,-1.722539,-0.8208327,-0.2621093,1.277461,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,32,-0.2476158,-1.71342,-0.8208327,-0.2476158,1.28658,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,33,-0.2309966,-1.711844,-0.8208327,-0.2309966,1.288156,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,34,-0.2205581,-1.713044,-0.8208327,-0.2205581,1.286956,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,35,-0.1973704,-1.713915,-0.8208327,-0.1973704,1.286085,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,36,-0.1839869,-1.702764,-0.8208327,-0.1839869,1.297236,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,37,-0.1739333,-1.697385,-0.8208327,-0.1739333,1.302615,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,38,-0.1584896,-1.688187,-0.8208327,-0.1584896,1.311813,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,39,-0.138909,-1.680128,-0.8208327,-0.138909,1.319872,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,40,-0.1258024,-1.671635,-0.8208327,-0.1258024,1.328365,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,41,-0.116574,-1.667122,-0.8208327,-0.116574,1.332878,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,42,-0.1049247,-1.654501,-0.8208327,-0.1049247,1.345499,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,43,-0.1011871,-1.644636,-0.8208327,-0.1011871,1.355364,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,44,-0.09405106,-1.634086,-0.8208327,-0.09405106,1.365914,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,45,-0.0752937,-1.625192,-0.8208327,-0.0752937,1.374808,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,46,-0.06493168,-1.61946,-0.8208327,-0.06493168,1.38054,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,47,-0.05868294,-1.605394,-0.8208327,-0.05868294,1.394606,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,48,-0.04388159,-1.58835,-0.8208327,-0.04388159,1.41165,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,49,-0.03119276,-1.580492,-0.8208327,-0.03119276,1.419508,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,50,-0.01755286,-1.57245,-0.8208327,-0.01755286,1.42755,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,51,-0.006983243,-1.565905,-0.8208327,-0.006983243,1.434095,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,52,0.008533373,-1.559508,-0.8208327,0.008533373,1.440492,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,53,0.02769766,-1.55438,-0.8208327,0.02769766,1.44562,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,54,0.04706791,-1.547375,-0.8208327,0.04706791,1.452625,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,55,0.06394801,-1.544207,-0.8208327,0.06394801,1.455793,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,56,0.0762575,-1.540094,-0.8208327,0.0762575,1.459906,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,57,0.08941538,-1.529671,-0.8208327,0.08941538,1.470329,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,58,0.1002063,-1.542983,-0.8208327,0.1002063,1.457017,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,59,0.112525,-1.552897,-0.8208327,0.112525,1.447103,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,60,0.1305493,-1.567977,-0.8208327,0.1305493,1.432023,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,61,0.1445885,-1.58078,-0.8208327,0.1445885,1.41922,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,62,0.1522478,-1.592693,-0.8208327,0.1522478,1.407307,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,63,0.1678422,-1.603044,-0.8208327,0.1678422,1.396956,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,64,0.1827161,-1.612163,-0.8208327,0.1827161,1.387837,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,65,0.2038682,-1.636087,-0.8208327,0.2038682,1.363913,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,66,0.2110574,-1.647766,-0.8208327,0.2110574,1.352234,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,67,0.2202114,-1.656528,-0.8208327,0.2202114,1.343472,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,68,0.2303827,-1.662587,-0.8208327,0.2303827,1.337413,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,69,0.2473132,-1.659112,-0.8208327,0.2473132,1.340888,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,70,0.2571669,-1.655025,-0.8208327,0.2571669,1.344975,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,71,0.2648301,-1.671808,-0.8208327,0.2648301,1.328192,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,72,0.2766765,-1.680568,-0.8208327,0.2766765,1.319432,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,73,0.2871834,-1.686073,-0.8208327,0.2871834,1.313927,4.179167
23,3,2,25,4,0.1396,1.773552,LR,0,74,0.297039,-1.693573,-0.8208327,0.297039,1.306427,4.179167
