x,y,z
-0.08154607,-6.264789,0.09328732
-0.08000591,-5.452537,0.09240266
-0.07583054,-4.592594,0.09123594
-0.07357195,-4.393239,0.09081253
-0.0687055,-4.332926,0.09002024
-0.06669559,-4.222064,0.08981803
-0.06340855,-4.321613,0.08933964
-0.05735131,-4.195416,0.08811783
-0.05444619,-4.020897,0.08736413
-0.05002829,-3.602329,0.08565514
-0.04798032,-3.39304,0.08489622
-0.04466641,-3.10778,0.08322807
-0.04458957,-3.118081,0.08200915
-0.04395253,-3.064728,0.07936391
-0.04281653,-3.233274,0.07671446
-0.04158802,-3.379706,0.07395484
-0.04068254,-4.128175,0.06664746
-0.03875795,-4.894423,0.05964811
-0.03527691,-6.046113,0.04699704
-0.03436676,-7.120668,0.03754483
-0.03053402,-9.462318,0.01639349
-0.02816369,-10.69617,0.005570683
-0.01873104,-12.82835,-0.01297021
-0.01304238,-13.81201,-0.02122215
-0.004883558,-15.24575,-0.02589213
0.01060784,17.65702,0.03404392
0.01736517,18.04243,0.02990265
-0.01248058,10.68217,-0.01484295
-0.008278549,11.417,-0.01847098
-0.00388337,11.60334,-0.02435902
0.03899144,19.04699,0.009284399
0.03890055,18.84547,0.005168736
0.03743798,18.55835,0.004918349
0.03642488,18.36006,0.004256963
0.03310227,17.84161,0.003885157
0.03130127,17.61028,0.003988917
0.02802294,17.68447,0.003936404
0.02656144,17.5941,0.003993023
0.02425362,17.54312,0.003669649
0.02137946,17.46917,0.00422896
0.01869747,17.41482,0.004608076
0.01131485,17.32142,0.005553383
0.007675338,17.28819,0.005823574
-0.005353409,17.07937,0.006600284
-0.01695475,17.07565,0.0068374
-0.03638944,17.03038,0.00625668
-0.01443087,-4.629107,-0.03237846
-0.04756408,-5.591799,-0.04508246
-0.06356242,-6.040051,-0.05168218
-0.08101395,-5.427423,-0.0608881
-0.1076844,-4.78035,-0.07399135
-0.1228345,-3.561532,-0.08608522
-0.1467954,-1.795158,-0.1024468
-0.1569602,-1.181237,-0.1086146
-0.170598,-0.7863318,-0.1238867
-0.1759931,-0.7787256,-0.1323035
-0.1940528,-1.045907,-0.1515786
-0.2019265,-1.06246,-0.1614286
-0.2100583,-1.036186,-0.1706924
-0.2197683,-1.074598,-0.1855201
-0.2228261,-1.110357,-0.1916811
-0.215709,-1.529576,-0.1918624
-0.2129542,-1.659169,-0.1913697
-0.2101668,-1.837048,-0.1919385
-0.2069629,-2.418272,-0.1909862
-0.2045137,-2.898263,-0.1904815
-0.1979809,-4.264303,-0.1886807
-0.1957752,-4.790758,-0.1883622
-0.1901003,-5.899193,-0.1870883
-0.1873977,-5.747457,-0.1862957
-0.1772051,-5.086867,-0.1813708
-0.1723405,-4.927785,-0.1792147
-0.1630218,-4.491079,-0.1725348
-0.1585737,-4.189315,-0.1683353
-0.1546513,-3.892786,-0.1648193
-0.1343023,-3.223772,-0.1451703
-0.1133444,-3.178662,-0.125502
-0.06156312,-1.275763,-0.07469359
-0.04428976,-0.5668981,-0.05919061
-0.002721356,2.119487,-0.02478177
0.01340575,3.130358,-0.01203226
-0.00768673,-20.98606,-0.02971677
0.02347258,-22.05138,-0.004283559
0.03492447,-20.86875,-1.86193E-05
0.02157017,-6.499667,0.03901098
0.03532764,-6.851357,0.04410731
0.04050422,-4.66502,0.06265133
0.0789606,-17.60888,0.03472582
0.08910679,-16.73479,0.04976109
0.09077708,-16.57876,0.05743084
0.0928325,-16.59036,0.06453568
0.1009582,-16.47056,0.07977425
0.1061423,-16.37631,0.08792616
0.1071214,-18.22974,0.101046
0.1071155,-19.23301,0.1080093
0.1074532,-20.62334,0.1190992
0.1075601,-21.14491,0.1234906
0.1088703,-20.90552,0.1217001
0.1097797,-20.93926,0.1222986
0.1103971,-20.32447,0.1192438
0.1107172,-18.96265,0.1138108
0.1103112,-18.269,0.1111663
0.1040176,-16.86197,0.1062021
0.1014901,-16.43127,0.1042092
0.09540983,-15.8957,0.1006498
0.0928793,-15.66581,0.09916189
0.08765922,-15.47271,0.09503159
0.08400135,-15.28209,0.09321599
0.0805888,-15.05649,0.09150231
0.07539692,-14.64966,0.08771658
0.06623788,-15.47771,0.08715153
0.05251042,-16.24949,0.08336969
0.04469515,-16.28465,0.07867382
0.02361165,-16.0227,0.06656083
0.01183592,-15.84972,0.05976631
0.001794134,-15.73244,0.05405507
-0.01954012,-15.21921,0.02912184
-0.02868083,-14.40775,0.008362489
-0.03700149,-13.5395,-0.008021243
-0.01902108,3.856344,-0.001432959
-0.03485786,3.560581,-0.02199365
-0.05993992,3.282202,-0.04701649
-0.07720466,3.596721,-0.06118106
-0.09231326,3.80361,-0.07442385
-0.120267,2.47006,-0.1002821
-0.134923,2.205318,-0.1112892
-0.1589004,1.841082,-0.1344773
-0.1650123,1.250715,-0.1379464
-0.1726634,0.8624836,-0.1435301
-0.1855797,0.388263,-0.1567478
-0.1943624,0.2218117,-0.1645582
-0.2096041,-0.9412212,-0.1699062
-0.2207354,-2.667942,-0.1750512
-0.2314775,-3.846299,-0.1809382
-0.2465197,-5.521758,-0.1872149
-0.2539911,-6.028471,-0.1915698
-0.2645099,-5.887488,-0.1937139
-0.2603021,-4.833266,-0.1915517
-0.2535485,-3.965283,-0.1890373
-0.2485643,-3.750811,-0.1868722
-0.2332087,-3.534306,-0.1789552
-0.2233268,-3.433149,-0.1738666
-0.2079415,-3.30658,-0.1662821
-0.1852049,-3.016825,-0.1563033
-0.164678,-2.561614,-0.1437065
-0.1194871,-1.626862,-0.1168868
-0.09762292,-1.151728,-0.104533
-0.05091862,-0.4071717,-0.07857268
-0.06667297,8.944919,-0.02797553
-0.04352851,11.61873,-0.01226895
-0.003169907,13.36119,0.0124101
0.01540221,13.61507,0.02300313
0.008324827,-2.414536,0.007146704
0.02246976,-1.776815,0.01698021
0.05144297,0.7037048,0.04059876
0.0668423,1.418597,0.05085415
0.08881947,2.165641,0.05723983
0.1232395,3.223266,0.06197567
0.1374872,3.568589,0.06272647
0.1398424,2.943395,0.06606933
0.1559789,2.395312,0.07366106
0.1560722,2.273299,0.080687
0.1438969,2.359294,0.08826333
0.1368841,2.436844,0.09881481
0.130959,2.189103,0.1012865
0.1258096,1.94204,0.1042581
0.1119118,1.540782,0.1087128
0.1065691,1.38394,0.1107971
0.09817646,0.5460572,0.1100443
0.09510535,0.2633813,0.1078882
0.08890733,-0.9605407,0.1042725
0.08583285,-1.749809,0.1028455
0.08242513,-3.087471,0.09968187
0.08151486,-3.687962,0.09808856
0.08274986,-4.484361,0.09521861
0.0834748,-5.869418,0.09145176
0.08358221,-5.801841,0.08904328
0.08290605,-5.473166,0.08505863
0.08233815,-5.248182,0.08328056
0.0824354,-4.541839,0.07903705
0.08245693,-4.327935,0.07713741
0.07824303,-4.538766,0.07552135
0.07603861,-4.506633,0.07528476
