PID,taskType,rightHanded,width,length,rotation,execType,trialRep,PositionX,PositionY
0,True,False,0.02,0.2,Rot0,0,0,-0.002897462,-0.004100949

0,True,False,0.02,0.2,Rot0,0,0,-0.002237606,-0.005269945

0,True,False,0.02,0.2,Rot0,0,0,-0.001987762,-0.005975247

0,True,False,0.02,0.2,Rot0,0,0,-0.001792493,-0.006557287

0,True,False,0.02,0.2,Rot0,0,0,-0.001720841,-0.006866516

0,True,False,0.02,0.2,Rot0,0,0,-0.001721031,-0.006866754

0,True,False,0.02,0.2,Rot0,0,0,-0.001665494,-0.00714481

0,True,False,0.02,0.2,Rot0,0,0,-0.001622966,-0.007386268

0,True,False,0.02,0.2,Rot0,0,0,-0.001356061,-0.007801057

0,True,False,0.02,0.2,Rot0,0,0,-0.001049119,-0.008250357

0,True,False,0.02,0.2,Rot0,0,0,-0.0008985458,-0.008723975

0,True,False,0.02,0.2,Rot0,0,0,-0.0007489758,-0.009176017

0,True,False,0.02,0.2,Rot0,0,0,-0.0005623375,-0.009612472

0,True,False,0.02,0.2,Rot0,0,0,-0.0003741111,-0.01004046

0,True,False,0.02,0.2,Rot0,0,0,-0.0001769128,-0.01047495

0,True,False,0.02,0.2,Rot0,0,0,7.910185E-05,-0.01099631

0,True,False,0.02,0.2,Rot0,0,0,0.0002241034,-0.01134524

0,True,False,0.02,0.2,Rot0,0,0,0.0004524154,-0.01185048

0,True,False,0.02,0.2,Rot0,0,0,0.0005480851,-0.01210413

0,True,False,0.02,0.2,Rot0,0,0,0.0005909568,-0.01222286

0,True,False,0.02,0.2,Rot0,0,0,0.0005813518,-0.01229173

0,True,False,0.02,0.2,Rot0,0,0,0.0005638216,-0.01235154

0,True,False,0.02,0.2,Rot0,0,0,0.0006316369,-0.01243654

0,True,False,0.02,0.2,Rot0,0,0,0.0007007625,-0.01251775

0,True,False,0.02,0.2,Rot0,0,0,0.0007037136,-0.01264584

0,True,False,0.02,0.2,Rot0,0,0,0.0006948089,-0.01290879

0,True,False,0.02,0.2,Rot0,0,0,0.0006999238,-0.01312432

0,True,False,0.02,0.2,Rot0,0,0,0.0007028748,-0.01334605

0,True,False,0.02,0.2,Rot0,0,0,0.0007038799,-0.01357413

0,True,False,0.02,0.2,Rot0,0,0,0.0007402505,-0.0137901

0,True,False,0.02,0.2,Rot0,0,0,0.0007467358,-0.01399908

0,True,False,0.02,0.2,Rot0,0,0,0.0007529139,-0.01442751

0,True,False,0.02,0.2,Rot0,0,0,0.0007513513,-0.01467923

0,True,False,0.02,0.2,Rot0,0,0,0.0007601929,-0.01486796

0,True,False,0.02,0.2,Rot0,0,0,0.000717334,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,0.0006057319,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,0.0005207651,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,0.0004278421,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,0.0003269017,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,0.0003393247,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,0.0003059444,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,0.0002274527,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,0.0001855381,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,0.0002171864,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,0.0001581826,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,1.965367E-05,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-3.16584E-05,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-8.597632E-05,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.0001097407,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.0001607919,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.0002504568,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.000344545,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.0004421251,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.0005488773,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.0006570536,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.0008833798,-0.01500002

0,True,False,0.02,0.2,Rot0,0,0,-0.001028215,-0.01500002
